NAME,median_income_owner,median_income_renter,median_rent,zip_code,ideal_rent,affordability_delta
ZCTA5 00601,20018,13779,401,00601,344.48,-56.53
ZCTA5 00602,23403,12203,459,00602,305.08,-153.93
ZCTA5 00603,26116,10583,448,00603,264.58,-183.42
ZCTA5 00606,22337,15194,394,00606,379.85,-14.15
ZCTA5 00610,26447,13876,524,00610,346.9,-177.1
ZCTA5 00611,23718,17431,432,00611,435.78,3.77
ZCTA5 00612,28650,11706,474,00612,292.65,-181.35
ZCTA5 00616,28064,18285,580,00616,457.12,-122.88
ZCTA5 00617,26739,13823,581,00617,345.58,-235.42
ZCTA5 00622,25814,17298,565,00622,432.45,-132.55
ZCTA5 00623,26918,15273,540,00623,381.82,-158.18
ZCTA5 00624,21916,16128,492,00624,403.2,-88.8
ZCTA5 00627,26305,14622,578,00627,365.55,-212.45
ZCTA5 00631,14734,17955,326,00631,448.88,122.88
ZCTA5 00637,21224,16205,454,00637,405.12,-48.88
ZCTA5 00638,22726,12455,371,00638,311.38,-59.62
ZCTA5 00641,21418,11667,458,00641,291.68,-166.32
ZCTA5 00646,35259,19432,664,00646,485.8,-178.2
ZCTA5 00647,18932,12101,336,00647,302.52,-33.48
ZCTA5 00650,25277,13516,633,00650,337.9,-295.1
ZCTA5 00652,30625,17500,678,00652,437.5,-240.5
ZCTA5 00653,16468,10250,329,00653,256.25,-72.75
ZCTA5 00656,23813,14969,413,00656,374.22,-38.77
ZCTA5 00659,29128,16629,541,00659,415.72,-125.28
ZCTA5 00660,26985,14233,531,00660,355.82,-175.18
ZCTA5 00662,25647,14187,512,00662,354.68,-157.32
ZCTA5 00664,21797,14913,444,00664,372.82,-71.18
ZCTA5 00667,20966,11921,520,00667,298.02,-221.98
ZCTA5 00669,19920,16078,483,00669,401.95,-81.05
ZCTA5 00670,21201,9406,299,00670,235.15,-63.85
ZCTA5 00674,24370,12724,534,00674,318.1,-215.9
ZCTA5 00676,24802,14670,478,00676,366.75,-111.25
ZCTA5 00677,31588,15658,572,00677,391.45,-180.55
ZCTA5 00678,23336,11779,488,00678,294.48,-193.52
ZCTA5 00680,23990,9263,462,00680,231.58,-230.42
ZCTA5 00682,29281,7980,418,00682,199.5,-218.5
ZCTA5 00683,21841,10796,466,00683,269.9,-196.1
ZCTA5 00685,19919,12398,440,00685,309.95,-130.05
ZCTA5 00687,26534,14091,561,00687,352.28,-208.73
ZCTA5 00688,22355,10755,547,00688,268.88,-278.12
ZCTA5 00690,26593,14663,782,00690,366.58,-415.42
ZCTA5 00692,28016,21083,631,00692,527.08,-103.92
ZCTA5 00693,26472,16753,572,00693,418.82,-153.18
ZCTA5 00698,22577,12648,495,00698,316.2,-178.8
ZCTA5 00703,28718,15036,432,00703,375.9,-56.1
ZCTA5 00704,21419,15086,608,00704,377.15,-230.85
ZCTA5 00705,26037,14300,519,00705,357.5,-161.5
ZCTA5 00707,26427,18523,500,00707,463.07,-36.93
ZCTA5 00714,20121,13051,498,00714,326.27,-171.73
ZCTA5 00716,27912,5704,481,00716,142.6,-338.4
ZCTA5 00717,27481,7282,417,00717,182.05,-234.95
ZCTA5 00718,23557,15574,511,00718,389.35,-121.65
ZCTA5 00719,26079,14069,502,00719,351.72,-150.27
ZCTA5 00720,17521,15641,469,00720,391.02,-77.97
ZCTA5 00723,25056,11154,486,00723,278.85,-207.15
ZCTA5 00725,34436,14190,546,00725,354.75,-191.25
ZCTA5 00727,39902,22011,800,00727,550.28,-249.73
ZCTA5 00728,24393,12056,489,00728,301.4,-187.6
ZCTA5 00729,31665,18704,585,00729,467.6,-117.4
ZCTA5 00730,22935,11745,502,00730,293.62,-208.38
ZCTA5 00731,18468,14327,501,00731,358.18,-142.82
ZCTA5 00735,25968,18473,497,00735,461.82,-35.18
ZCTA5 00736,32698,19412,572,00736,485.3,-86.7
ZCTA5 00738,30571,15765,616,00738,394.12,-221.88
ZCTA5 00739,30181,17595,539,00739,439.88,-99.12
ZCTA5 00741,24889,19044,649,00741,476.1,-172.9
ZCTA5 00745,31431,13899,589,00745,347.48,-241.53
ZCTA5 00751,21514,15282,463,00751,382.05,-80.95
ZCTA5 00754,23085,13708,565,00754,342.7,-222.3
ZCTA5 00757,24025,18250,502,00757,456.25,-45.75
ZCTA5 00765,17991,16450,441,00765,411.25,-29.75
ZCTA5 00766,25407,12961,487,00766,324.02,-162.98
ZCTA5 00767,24477,13640,498,00767,341.0,-157.0
ZCTA5 00769,23496,12272,493,00769,306.8,-186.2
ZCTA5 00771,27909,14219,478,00771,355.48,-122.52
ZCTA5 00772,19444,13602,436,00772,340.05,-95.95
ZCTA5 00773,27852,14902,485,00773,372.55,-112.45
ZCTA5 00775,32250,18068,458,00775,451.7,-6.3
ZCTA5 00777,30078,16068,573,00777,401.7,-171.3
ZCTA5 00778,45914,22146,630,00778,553.65,-76.35
ZCTA5 00780,26999,19167,848,00780,479.17,-368.83
ZCTA5 00782,21342,12046,474,00782,301.15,-172.85
